   -1.6959728195e-02	   -1.5934204254e-02	1.0
   -1.5775515176e-02	   -1.4422845119e-02	1.0
   -1.2213526210e-02	   -1.5218883564e-02	1.0
   -1.7558071174e-02	   -1.6654682649e-02	1.0
    5.4323135156e-03	   -1.8728339536e-02	1.0
    2.2316806797e-03	   -1.8413232667e-02	1.0
    1.8763020968e-02	   -1.3794374122e-02	1.0
   -1.4758267139e-02	    1.1951034650e-03	1.0
   -1.2362357836e-02	   -1.3835572090e-02	1.0
   -1.8415885488e-02	   -1.7158048798e-02	1.0
    2.1166765920e-03	   -1.7471827606e-02	1.0
   -1.7554759970e-02	   -1.5259329776e-02	1.0
    6.9441536036e-03	   -1.6173563745e-02	1.0
   -1.0234193557e-02	   -1.6622973696e-02	1.0
   -1.7688737611e-02	   -1.7893247395e-02	1.0
   -1.4563697133e-02	   -1.8194926899e-02	1.0
   -1.4598374045e-02	    1.8148919332e-02	1.0
   -1.7833994996e-02	   -1.4964476543e-02	1.0
   -1.8249015403e-02	   -1.8666819271e-02	1.0
